source_old,province,year,month,rows_old,temp_value_sum_old,temp_value_count_old,temp_sum_old,temp_missing_old,dew_value_sum_old,dew_value_count_old,dew_sum_old,dew_missing_old,humidity_value_sum_old,humidity_value_count_old,humidity_sum_old,humidity_missing_old,wspd_value_sum_old,wspd_value_count_old,wspd_sum_old,wspd_missing_old,wgust_value_sum_old,wgust_value_count_old,wgust_sum_old,wgust_missing_old,wdir_value_sum_old,wdir_value_count_old,wdir_sum_old,wdir_missing_old,precip_value_sum_old,precip_value_count_old,precip_sum_old,precip_missing_old,cloudcover_value_sum_old,cloudcover_value_count_old,cloudcover_sum_old,cloudcover_missing_old,sealevelpressure_value_sum_old,sealevelpressure_value_count_old,sealevelpressure_sum_old,sealevelpressure_missing_old,temp_mean_old,dew_mean_old,humidity_mean_old,wspd_mean_old,wgust_mean_old,wdir_mean_old,precip_mean_old,cloudcover_mean_old,sealevelpressure_mean_old,source_updated,rows_updated,temp_value_sum_updated,temp_value_count_updated,temp_sum_updated,temp_missing_updated,dew_value_sum_updated,dew_value_count_updated,dew_sum_updated,dew_missing_updated,humidity_value_sum_updated,humidity_value_count_updated,humidity_sum_updated,humidity_missing_updated,wspd_value_sum_updated,wspd_value_count_updated,wspd_sum_updated,wspd_missing_updated,wgust_value_sum_updated,wgust_value_count_updated,wgust_sum_updated,wgust_missing_updated,wdir_value_sum_updated,wdir_value_count_updated,wdir_sum_updated,wdir_missing_updated,precip_value_sum_updated,precip_value_count_updated,precip_sum_updated,precip_missing_updated,cloudcover_value_sum_updated,cloudcover_value_count_updated,cloudcover_sum_updated,cloudcover_missing_updated,sealevelpressure_value_sum_updated,sealevelpressure_value_count_updated,sealevelpressure_sum_updated,sealevelpressure_missing_updated,temp_mean_updated,dew_mean_updated,humidity_mean_updated,wspd_mean_updated,wgust_mean_updated,wdir_mean_updated,precip_mean_updated,cloudcover_mean_updated,sealevelpressure_mean_updated,_merge,row_diff,temp_mean_abs_diff,dew_mean_abs_diff,humidity_mean_abs_diff,wspd_mean_abs_diff,wgust_mean_abs_diff,wdir_mean_abs_diff,precip_mean_abs_diff,cloudcover_mean_abs_diff,sealevelpressure_mean_abs_diff,any_numeric_diff
old,Songkhla,2015,4,720,20421.5,718,0,2,16989.8,718,0,2,55092.7,718,0,2,5010.6,718,0,2,0.0,0,0,720,74285.0,718,0,2,164.07,720,164.07,0,55212.90000000001,718,0,2,242385.7,240,0,480,28.442200557103064,23.66267409470752,76.7307799442897,6.978551532033427,,103.46100278551532,0.227875,76.8981894150418,1009.9404166666667,updated,720,20421.5,718,0,2,16989.8,718,0,2,55092.7,718,0,2,5010.6,718,0,2,0.0,0,0,720,74285.0,718,0,2,164.07,720,164.07,0,55212.899999999994,718,0,2,242385.7,240,0,480,28.442200557103064,23.66267409470752,76.7307799442897,6.978551532033427,,103.46100278551532,0.227875,76.89818941504177,1009.9404166666667,both,0,0.0,0.0,0.0,0.0,,0.0,0.0,2.842170943040401e-14,0.0,False
old,Suphan Buri,2015,4,716,7276.799999999999,240,0,476,5706.599999999999,240,0,476,17006.16,240,0,476,468.9,240,0,476,0.0,0,0,716,35576.0,224,0,492,191.9,716,191.9,0,13186.5,240,0,476,242311.90000000002,240,0,476,30.319999999999997,23.777499999999996,70.859,1.9537499999999999,,158.82142857142858,0.26801675977653633,54.94375,1009.6329166666668,updated,716,7276.799999999999,240,0,476,5706.6,240,0,476,17006.16,240,0,476,468.90000000000003,240,0,476,0.0,0,0,716,35576.0,224,0,492,191.9,716,191.9,0,13186.5,240,0,476,242311.9,240,0,476,30.319999999999997,23.7775,70.859,1.95375,,158.82142857142858,0.26801675977653633,54.94375,1009.6329166666667,both,0,0.0,3.552713678800501e-15,0.0,2.220446049250313e-16,,0.0,0.0,0.0,1.1368683772161603e-13,False
old,Amnat Charoen,2015,8,743,19798.3,696,0,47,17099.9,696,0,47,56297.08,696,0,47,3865.9000000000005,696,0,47,0.0,0,0,743,128775.0,665,0,78,477.26,743,477.26,0,41618.3,696,0,47,249796.4,248,0,495,28.445833333333333,24.568821839080464,80.8866091954023,5.554454022988507,,193.64661654135338,0.6423418573351278,59.79640804597702,1007.2435483870968,updated,743,19798.3,696,0,47,17099.9,696,0,47,56297.08,696,0,47,3865.9000000000005,696,0,47,0.0,0,0,743,128775.0,665,0,78,477.2600000000001,743,477.2600000000001,0,41618.3,696,0,47,249796.4,248,0,495,28.445833333333333,24.568821839080464,80.8866091954023,5.554454022988507,,193.64661654135338,0.642341857335128,59.79640804597702,1007.2435483870968,both,0,0.0,0.0,0.0,0.0,,0.0,2.220446049250313e-16,0.0,0.0,False
old,Chai Nat,2015,8,740,7061.599999999999,247,0,493,6034.4,247,0,493,19655.56,247,0,493,725.6,247,0,493,0.0,0,0,740,41026.0,216,0,524,375.65000000000003,740,375.65000000000003,0,19945.1,247,0,493,247823.69999999998,246,0,494,28.589473684210525,24.43076923076923,79.57716599190285,2.937651821862348,,189.9351851851852,0.5076351351351351,80.7493927125506,1007.4134146341463,updated,740,7061.599999999999,247,0,493,6034.4,247,0,493,19655.56,247,0,493,725.6,247,0,493,0.0,0,0,740,41026.0,216,0,524,375.65,740,375.65,0,19945.1,247,0,493,247823.7,246,0,494,28.589473684210525,24.43076923076923,79.57716599190285,2.937651821862348,,189.9351851851852,0.5076351351351351,80.7493927125506,1007.4134146341464,both,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.1368683772161603e-13,False
old,Chiang Mai,2015,8,744,20441.6,732,0,12,15917.0,732,0,12,51734.6,732,0,12,4474.599999999999,732,0,12,0.0,0,0,744,120005.0,727,0,17,223.57999999999998,744,223.57999999999998,0,52885.6,732,0,12,246716.1,245,0,499,27.92568306010929,21.744535519125684,70.6756830601093,6.112841530054644,,165.0687757909216,0.300510752688172,72.24808743169399,1007.0044897959184,updated,744,20441.6,732,0,12,15916.999999999998,732,0,12,51734.6,732,0,12,4474.599999999999,732,0,12,0.0,0,0,744,120005.0,727,0,17,223.57999999999998,744,223.57999999999998,0,52885.6,732,0,12,246716.09999999998,245,0,499,27.92568306010929,21.74453551912568,70.6756830601093,6.112841530054644,,165.0687757909216,0.300510752688172,72.24808743169399,1007.0044897959183,both,0,0.0,3.552713678800501e-15,0.0,0.0,,0.0,0.0,0.0,1.1368683772161603e-13,False
old,Nakhon Ratchasima,2015,8,742,8425.1,295,0,447,7183.4,295,0,447,23450.54,295,0,447,1530.3,295,0,447,0.0,0,0,742,58264.0,254,0,488,349.96000000000004,742,349.96000000000004,0,22369.600000000002,295,0,447,246748.90000000002,245,0,497,28.559661016949153,24.35050847457627,79.49335593220339,5.187457627118644,,229.38582677165354,0.47164420485175207,75.8291525423729,1007.1383673469388,updated,742,8425.099999999999,295,0,447,7183.4,295,0,447,23450.54,295,0,447,1530.3,295,0,447,0.0,0,0,742,58264.0,254,0,488,349.96,742,349.96,0,22369.6,295,0,447,246748.9,245,0,497,28.559661016949146,24.35050847457627,79.49335593220339,5.187457627118644,,229.38582677165354,0.471644204851752,75.82915254237288,1007.1383673469387,both,0,7.105427357601002e-15,0.0,0.0,0.0,,0.0,5.551115123125783e-17,1.4210854715202004e-14,1.1368683772161603e-13,False
old,Songkhla,2015,8,744,20368.5,742,0,2,17627.8,742,0,2,60494.69,742,0,2,3707.0000000000005,742,0,2,0.0,0,0,744,130594.0,742,0,2,400.09000000000003,744,400.09000000000003,0,62299.9,742,0,2,249406.9,247,0,497,27.450808625336926,23.757142857142856,81.52923180592992,4.9959568733153645,,176.00269541778977,0.5377553763440861,83.96212938005391,1009.7445344129554,updated,744,20368.5,742,0,2,17627.8,742,0,2,60494.69,742,0,2,3707.0,742,0,2,0.0,0,0,744,130594.0,742,0,2,400.09000000000003,744,400.09000000000003,0,62299.9,742,0,2,249406.90000000002,247,0,497,27.450808625336926,23.757142857142856,81.52923180592992,4.995956873315364,,176.00269541778977,0.5377553763440861,83.96212938005391,1009.7445344129555,both,0,0.0,0.0,0.0,8.881784197001252e-16,,0.0,0.0,0.0,1.1368683772161603e-13,False
old,Suphan Buri,2015,8,740,7205.9,247,0,493,6001.3,247,0,493,18841.09,247,0,493,641.7,247,0,493,0.0,0,0,740,45931.0,225,0,515,332.93000000000006,740,332.93000000000006,0,21234.6,247,0,493,248853.1,247,0,493,29.173684210526314,24.29676113360324,76.27971659919028,2.5979757085020245,,204.13777777777779,0.44990540540540547,85.97004048582995,1007.5024291497976,updated,740,7205.9,247,0,493,6001.299999999999,247,0,493,18841.09,247,0,493,641.7,247,0,493,0.0,0,0,740,45931.0,225,0,515,332.93,740,332.93,0,21234.6,247,0,493,248853.1,247,0,493,29.173684210526314,24.296761133603237,76.27971659919028,2.5979757085020245,,204.13777777777779,0.4499054054054054,85.97004048582995,1007.5024291497976,both,0,0.0,3.552713678800501e-15,0.0,0.0,,0.0,5.551115123125783e-17,0.0,0.0,False
old,Amnat Charoen,2015,12,744,18820.3,734,0,10,14168.3,734,0,10,51339.95,734,0,10,5978.299999999999,734,0,10,25.9,1,0,743,46088.0,718,0,26,0.3,744,0.3,0,22197.4,732,0,12,251657.8,248,0,496,25.640735694822887,19.302861035422342,69.94543596730244,8.144822888283377,25.9,64.18941504178272,0.0004032258064516129,30.32431693989071,1014.7491935483871,updated,744,18820.3,734,0,10,14168.3,734,0,10,51339.95,734,0,10,5978.3,734,0,10,25.9,1,0,743,46088.0,718,0,26,0.3,744,0.3,0,22197.4,732,0,12,251657.8,248,0,496,25.640735694822887,19.302861035422342,69.94543596730244,8.144822888283379,25.9,64.18941504178272,0.0004032258064516129,30.32431693989071,1014.7491935483871,both,0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,False
old,Chai Nat,2015,12,740,6621.7,248,0,492,5223.6,248,0,492,18169.440000000002,248,0,492,585.9,248,0,492,0.0,0,0,740,22728.0,152,0,588,33.71,740,33.71,0,13560.2,248,0,492,251441.2,248,0,492,26.70040322580645,21.062903225806455,73.26387096774195,2.3625,,149.52631578947367,0.045554054054054056,54.678225806451614,1013.8758064516129,updated,740,6621.7,248,0,492,5223.6,248,0,492,18169.44,248,0,492,585.9,248,0,492,0.0,0,0,740,22728.0,152,0,588,33.71,740,33.71,0,13560.2,248,0,492,251441.2,248,0,492,26.70040322580645,21.062903225806455,73.26387096774194,2.3625,,149.52631578947367,0.045554054054054056,54.678225806451614,1013.8758064516129,both,0,0.0,0.0,1.4210854715202004e-14,0.0,,0.0,0.0,0.0,0.0,False
old,Chiang Mai,2015,12,744,17468.5,719,0,25,11610.0,719,0,25,45287.98,719,0,25,3325.9,719,0,25,27.7,1,0,743,92379.0,713,0,31,71.72,744,71.72,0,26597.9,719,0,25,251811.6,248,0,496,24.295549374130736,16.14742698191933,62.98745479833102,4.625730180806676,27.7,129.56381486676017,0.09639784946236558,36.992906815020866,1015.3693548387097,updated,744,17468.5,719,0,25,11610.0,719,0,25,45287.979999999996,719,0,25,3325.9,719,0,25,27.7,1,0,743,92379.0,713,0,31,71.72,744,71.72,0,26597.9,719,0,25,251811.6,248,0,496,24.295549374130736,16.14742698191933,62.98745479833101,4.625730180806676,27.7,129.56381486676017,0.09639784946236558,36.992906815020866,1015.3693548387097,both,0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,0.0,False
old,Nakhon Ratchasima,2015,12,740,7191.1,268,0,472,5404.4,268,0,472,18377.72,268,0,472,1424.0,268,0,472,0.0,0,0,740,17791.0,190,0,550,3.18,740,3.18,0,12556.400000000001,268,0,472,250449.2,247,0,493,26.832462686567165,20.165671641791043,68.57358208955225,5.313432835820896,,93.63684210526316,0.004297297297297297,46.85223880597015,1013.9643724696357,updated,740,7191.1,268,0,472,5404.4,268,0,472,18377.719999999998,268,0,472,1424.0,268,0,472,0.0,0,0,740,17791.0,190,0,550,3.18,740,3.18,0,12556.4,268,0,472,250449.19999999998,247,0,493,26.832462686567165,20.165671641791043,68.57358208955223,5.313432835820896,,93.63684210526316,0.004297297297297297,46.852238805970146,1013.9643724696356,both,0,0.0,0.0,1.4210854715202004e-14,0.0,,0.0,0.0,7.105427357601002e-15,1.1368683772161603e-13,False
old,Songkhla,2015,12,744,20336.9,743,0,1,17944.4,743,0,1,62067.52,743,0,1,5482.4,743,0,1,0.0,0,0,744,89382.0,743,0,1,250.33,744,250.33,0,50803.3,743,0,1,252978.5,250,0,494,27.371332436069988,24.15127860026918,83.53636608344549,7.378734858681022,,120.29878869448183,0.3364650537634409,68.37590847913863,1011.914,updated,744,20336.9,743,0,1,17944.4,743,0,1,62067.52,743,0,1,5482.4,743,0,1,0.0,0,0,744,89382.0,743,0,1,250.33,744,250.33,0,50803.3,743,0,1,252978.5,250,0,494,27.371332436069988,24.15127860026918,83.53636608344549,7.378734858681022,,120.29878869448183,0.3364650537634409,68.37590847913863,1011.914,both,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,False
old,Suphan Buri,2015,12,740,6743.5,248,0,492,5290.2,248,0,492,17868.5,248,0,492,402.4,248,0,492,0.0,0,0,740,23027.0,175,0,565,23.05,740,23.05,0,12513.2,248,0,492,251344.5,248,0,492,27.191532258064516,21.331451612903226,72.05040322580645,1.6225806451612903,,131.58285714285714,0.03114864864864865,50.45645161290323,1013.4858870967741,updated,740,6743.5,248,0,492,5290.2,248,0,492,17868.5,248,0,492,402.40000000000003,248,0,492,0.0,0,0,740,23027.0,175,0,565,23.05,740,23.05,0,12513.2,248,0,492,251344.5,248,0,492,27.191532258064516,21.331451612903226,72.05040322580645,1.6225806451612905,,131.58285714285714,0.03114864864864865,50.45645161290323,1013.4858870967741,both,0,0.0,0.0,0.0,2.220446049250313e-16,,0.0,0.0,0.0,0.0,False
old,Amnat Charoen,2016,1,744,18556.5,734,0,10,14162.3,734,0,10,52337.83,734,0,10,4937.1,734,0,10,181.7,4,0,740,73605.0,701,0,43,33.75,744,33.75,0,28472.9,734,0,10,251552.5,248,0,496,25.28133514986376,19.29468664850136,71.3049455040872,6.7262942779291555,45.425,105.0,0.04536290322580645,38.79141689373297,1014.3245967741935,updated,744,18556.5,734,0,10,14162.3,734,0,10,52337.83,734,0,10,4937.1,734,0,10,181.7,4,0,740,73605.0,701,0,43,33.75,744,33.75,0,28472.9,734,0,10,251552.5,248,0,496,25.28133514986376,19.29468664850136,71.3049455040872,6.7262942779291555,45.425,105.0,0.04536290322580645,38.79141689373297,1014.3245967741935,both,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
old,Chai Nat,2016,1,740,6381.299999999999,248,0,492,4811.1,248,0,492,17454.660000000003,248,0,492,718.2,248,0,492,0.0,0,0,740,28948.0,169,0,571,68.14,740,68.14,0,14334.2,248,0,492,251368.5,248,0,492,25.73104838709677,19.39959677419355,70.3816935483871,2.895967741935484,,171.28994082840237,0.09208108108108108,57.7991935483871,1013.5826612903226,updated,740,6381.3,248,0,492,4811.099999999999,248,0,492,17454.659999999996,248,0,492,718.2,248,0,492,0.0,0,0,740,28948.0,169,0,571,68.14,740,68.14,0,14334.2,248,0,492,251368.5,248,0,492,25.731048387096774,19.399596774193547,70.38169354838708,2.895967741935484,,171.28994082840237,0.09208108108108108,57.7991935483871,1013.5826612903226,both,0,3.552713678800501e-15,3.552713678800501e-15,2.842170943040401e-14,0.0,,0.0,0.0,0.0,0.0,False
old,Chiang Mai,2016,1,744,15615.0,729,0,15,8510.900000000001,729,0,15,42628.32,729,0,15,2770.1,729,0,15,35.3,1,0,743,76817.0,725,0,19,49.29,744,49.29,0,26283.2,729,0,15,251824.8,248,0,496,21.419753086419753,11.674759945130317,58.47506172839506,3.7998628257887517,35.3,105.95448275862068,0.06625,36.05377229080933,1015.4225806451612,updated,744,15615.0,729,0,15,8510.900000000001,729,0,15,42628.31999999999,729,0,15,2770.1000000000004,729,0,15,35.3,1,0,743,76817.0,725,0,19,49.29,744,49.29,0,26283.199999999997,729,0,15,251824.80000000002,248,0,496,21.419753086419753,11.674759945130317,58.475061728395055,3.799862825788752,35.3,105.95448275862068,0.06625,36.05377229080933,1015.4225806451614,both,0,0.0,0.0,7.105427357601002e-15,4.440892098500626e-16,0.0,0.0,0.0,0.0,1.1368683772161603e-13,False
old,Nakhon Ratchasima,2016,1,740,6508.1,253,0,487,5029.3,253,0,487,18249.120000000003,253,0,487,888.3,253,0,487,0.0,0,0,740,26331.0,189,0,551,58.53,740,58.53,0,13326.3,253,0,487,251369.69999999998,248,0,492,25.723715415019765,19.878656126482213,72.1309090909091,3.5110671936758893,,139.31746031746033,0.0790945945945946,52.67312252964427,1013.5875,updated,740,6508.1,253,0,487,5029.3,253,0,487,18249.12,253,0,487,888.3,253,0,487,0.0,0,0,740,26331.0,189,0,551,58.53,740,58.53,0,13326.3,253,0,487,251369.7,248,0,492,25.723715415019765,19.878656126482213,72.13090909090909,3.5110671936758893,,139.31746031746033,0.0790945945945946,52.67312252964427,1013.5875000000001,both,0,0.0,0.0,1.4210854715202004e-14,0.0,,0.0,0.0,0.0,1.1368683772161603e-13,False
